[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,267: <2017-08-24 17:47:11,267303, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,272: <2017-08-24 17:47:11,272545, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,277: <2017-08-24 17:47:11,276765, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,282: <2017-08-24 17:47:11,281332, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,286: <2017-08-24 17:47:11,286135, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,291: <2017-08-24 17:47:11,291080, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,295: <2017-08-24 17:47:11,294989, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,299: <2017-08-24 17:47:11,299181, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,303: <2017-08-24 17:47:11,302992, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,317: <2017-08-24 17:47:11,316756, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,320: <2017-08-24 17:47:11,320335, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,323: <2017-08-24 17:47:11,323323, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,354: <2017-08-24 17:47:11,354166, actuators, h, command>
[PiCamera @ picamera.py:126][DEBUG] 2017-08-24 17:47:11,363: frame #17
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,371: <2017-08-24 17:47:11,371330, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,398: <2017-08-24 17:47:11,398111, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,402: <2017-08-24 17:47:11,402508, actuators, h, command>
[PiCamera @ picamera.py:126][DEBUG] 2017-08-24 17:47:11,406: frame #18
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,408: <2017-08-24 17:47:11,408576, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,412: <2017-08-24 17:47:11,412178, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,417: <2017-08-24 17:47:11,416941, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,420: <2017-08-24 17:47:11,420235, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,423: <2017-08-24 17:47:11,423362, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,427: <2017-08-24 17:47:11,426615, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,430: <2017-08-24 17:47:11,429988, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,433: <2017-08-24 17:47:11,433168, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,436: <2017-08-24 17:47:11,436203, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,439: <2017-08-24 17:47:11,439140, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,442: <2017-08-24 17:47:11,442125, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,445: <2017-08-24 17:47:11,445096, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,448: <2017-08-24 17:47:11,448177, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,451: <2017-08-24 17:47:11,451178, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,455: <2017-08-24 17:47:11,454843, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,459: <2017-08-24 17:47:11,458949, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,464: <2017-08-24 17:47:11,464323, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,469: <2017-08-24 17:47:11,468743, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,471: <2017-08-24 17:47:11,471294, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,477: <2017-08-24 17:47:11,477009, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,480: <2017-08-24 17:47:11,480265, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,484: <2017-08-24 17:47:11,483920, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,496: <2017-08-24 17:47:11,496090, actuators, h, command>
[PiCamera @ picamera.py:126][DEBUG] 2017-08-24 17:47:11,501: frame #19
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,504: <2017-08-24 17:47:11,503836, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,507: <2017-08-24 17:47:11,507191, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,510: <2017-08-24 17:47:11,510387, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,512: <2017-08-24 17:47:11,512530, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,514: <2017-08-24 17:47:11,514606, actuators, h, command>
[PiCamera @ picamera.py:126][DEBUG] 2017-08-24 17:47:11,580: frame #20
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,595: <2017-08-24 17:47:11,594701, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,613: <2017-08-24 17:47:11,612796, actuators, h, command>
[PiCamera @ picamera.py:126][DEBUG] 2017-08-24 17:47:11,619: frame #21
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,621: <2017-08-24 17:47:11,621181, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,625: <2017-08-24 17:47:11,625320, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,632: <2017-08-24 17:47:11,632220, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,635: <2017-08-24 17:47:11,635589, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,644: <2017-08-24 17:47:11,643620, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,650: <2017-08-24 17:47:11,649704, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,654: <2017-08-24 17:47:11,653767, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,659: <2017-08-24 17:47:11,659484, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,664: <2017-08-24 17:47:11,663806, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,667: <2017-08-24 17:47:11,667551, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,672: <2017-08-24 17:47:11,671592, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,675: <2017-08-24 17:47:11,675032, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,678: <2017-08-24 17:47:11,678307, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,682: <2017-08-24 17:47:11,681635, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,685: <2017-08-24 17:47:11,685359, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,689: <2017-08-24 17:47:11,688699, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,692: <2017-08-24 17:47:11,692442, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,696: <2017-08-24 17:47:11,695966, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,699: <2017-08-24 17:47:11,699454, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,712: <2017-08-24 17:47:11,712387, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,717: <2017-08-24 17:47:11,716474, actuators, h, command>
[PiCamera @ picamera.py:126][DEBUG] 2017-08-24 17:47:11,737: frame #22
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,753: <2017-08-24 17:47:11,753155, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,762: <2017-08-24 17:47:11,761620, actuators, h, command>
